_id,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,geometry
586,GO-20124528016,1347076800000,2012,September,8,Saturday,252,D42,Shooting,146,Malvern East (146),132,Malvern (132),-79.20614158162303,43.80924489906626,"{""coordinates"": [[-79.206141582, 43.8092448990001]], ""type"": ""MultiPoint""}"
587,GO-20124520488,1347681600000,2012,September,15,Saturday,259,D13,Other,108,Briar Hill-Belgravia (108),108,Briar Hill-Belgravia (108),-79.44107938149152,43.70223925992143,"{""coordinates"": [[-79.441079381, 43.7022392600001]], ""type"": ""MultiPoint""}"
588,GO-20124453311,1347768000000,2012,September,16,Sunday,260,D23,Shooting,025,Glenfield-Jane Heights (25),025,Glenfield-Jane Heights (25),-79.51510920858935,43.7470809737211,"{""coordinates"": [[-79.5151092089999, 43.747080974]], ""type"": ""MultiPoint""}"
589,GO-20124589405,1347940800000,2012,September,18,Tuesday,262,D23,Shooting,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.58261467205789,43.73396767891982,"{""coordinates"": [[-79.582614672, 43.733967679]], ""type"": ""MultiPoint""}"
590,GO-20124589405,1347940800000,2012,September,18,Tuesday,262,D23,Shooting,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.58261467205789,43.73396767891982,"{""coordinates"": [[-79.582614672, 43.733967679]], ""type"": ""MultiPoint""}"
591,GO-20124663461,1349928000000,2012,October,11,Thursday,285,D31,Shooting,024,Black Creek (24),024,Black Creek (24),-79.51545761334081,43.75788208504791,"{""coordinates"": [[-79.515457613, 43.7578820850001]], ""type"": ""MultiPoint""}"
592,GO-20124615172,1350446400000,2012,October,17,Wednesday,291,D43,Other,142,Woburn North (142),137,Woburn (137),-79.23911223931755,43.77345979621043,"{""coordinates"": [[-79.239112239, 43.7734597960001]], ""type"": ""MultiPoint""}"
593,GO-2018104863,1350532800000,2012,October,18,Thursday,292,D51,Other,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.38010274938323,43.663695802799516,"{""coordinates"": [[-79.3801027489999, 43.663695803]], ""type"": ""MultiPoint""}"
594,GO-20124477212,1350964800000,2012,October,23,Tuesday,297,D51,Stabbing,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.37117855586273,43.66528610438979,"{""coordinates"": [[-79.371178556, 43.6652861040001]], ""type"": ""MultiPoint""}"
595,GO-20124703830,1351396800000,2012,October,28,Sunday,302,D43,Shooting,135,Morningside (135),135,Morningside (135),-79.21398939988133,43.785911796580365,"{""coordinates"": [[-79.2139893999999, 43.785911797]], ""type"": ""MultiPoint""}"
596,GO-20124697103,1351483200000,2012,October,29,Monday,303,D32,Shooting,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),-79.44923351660518,43.720519956266926,"{""coordinates"": [[-79.449233517, 43.720519956]], ""type"": ""MultiPoint""}"
597,GO-20124613667,1351483200000,2012,October,29,Monday,303,D14,Stabbing,085,South Parkdale (85),085,South Parkdale (85),-79.43725262091455,43.63692578408837,"{""coordinates"": [[-79.437252621, 43.636925784]], ""type"": ""MultiPoint""}"
598,GO-20124754900,1351569600000,2012,October,30,Tuesday,304,D12,Shooting,115,Mount Dennis (115),115,Mount Dennis (115),-79.49313368148698,43.68830098436481,"{""coordinates"": [[-79.493133681, 43.6883009840001]], ""type"": ""MultiPoint""}"
599,GO-20124695122,1352610000000,2012,November,11,Sunday,316,D14,Shooting,079,University (79),079,University (79),-79.40647163341241,43.65671549847639,"{""coordinates"": [[-79.406471633, 43.656715498]], ""type"": ""MultiPoint""}"
600,GO-20124664511,1352696400000,2012,November,12,Monday,317,D23,Other,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.5810103712612,43.736358876256595,"{""coordinates"": [[-79.5810103709999, 43.7363588760001]], ""type"": ""MultiPoint""}"
601,GO-20124559977,1352869200000,2012,November,14,Wednesday,319,D55,Other,064,Woodbine Corridor (64),064,Woodbine Corridor (64),-79.31425823817366,43.679663116985196,"{""coordinates"": [[-79.314258238, 43.6796631170001]], ""type"": ""MultiPoint""}"
602,GO-20124545660,1353128400000,2012,November,17,Saturday,322,D54,Stabbing,044,Flemingdon Park (44),044,Flemingdon Park (44),-79.32472893510483,43.72372444536809,"{""coordinates"": [[-79.324728935, 43.7237244450001]], ""type"": ""MultiPoint""}"
603,GO-20121799887,1354165200000,2012,November,29,Thursday,334,D22,Shooting,012,Markland Wood (12),012,Markland Wood (12),-79.58274809926648,43.633262744398344,"{""coordinates"": [[-79.582748099, 43.633262744]], ""type"": ""MultiPoint""}"
604,GO-20124672379,1354424400000,2012,December,2,Sunday,337,D31,Shooting,155,Downsview (155),026,Downsview-Roding-CFB (26),-79.48368284901674,43.73357135046008,"{""coordinates"": [[-79.4836828489999, 43.73357135]], ""type"": ""MultiPoint""}"
605,GO-20124844185,1355979600000,2012,December,20,Thursday,355,D51,Stabbing,074,North St.James Town (74),074,North St.James Town (74),-79.37376715504146,43.667288406453174,"{""coordinates"": [[-79.3737671549999, 43.6672884060001]], ""type"": ""MultiPoint""}"
606,GO-20134821260,1357016400000,2013,January,1,Tuesday,1,D31,Stabbing,027,York University Heights (27),027,York University Heights (27),-79.494706101939,43.77768997115684,"{""coordinates"": [[-79.494706102, 43.777689971]], ""type"": ""MultiPoint""}"
607,GO-20134842775,1358485200000,2013,January,18,Friday,18,D51,Shooting,072,Regent Park (72),072,Regent Park (72),-79.35907716289299,43.660344599448294,"{""coordinates"": [[-79.3590771629999, 43.660344599]], ""type"": ""MultiPoint""}"
608,GO-20134911563,1358571600000,2013,January,19,Saturday,19,D14,Other,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),-79.42378932955751,43.67027741748566,"{""coordinates"": [[-79.42378933, 43.6702774170001]], ""type"": ""MultiPoint""}"
